State,Median Age,Edu Score,Household Income,Per Capita Income,Unemployed Rate,Pvty Rate,ID
AK,34.87811158798283,45.29275464517035,51970.579185520364,25279.339055793993,6.342148223644904,19.506802784174482,0.13445378151260504
AL,41.26419558359621,47.72857048337741,41469.510924369744,21733.875796178345,4.560876710253184,20.092489657529406,0.17445482866043613
AR,42.69674657534242,45.120173697890316,38666.67041198502,20377.982817869415,3.535942973504474,19.663048254315218,0.20812182741116753
AZ,41.6607594936709,51.56294319351999,47316.109042553195,23885.184810126582,4.764092269157199,19.999152899475963,0.345679012345679
CA,40.14279907084788,55.762517615757055,63686.200609756095,31330.36453488372,4.934100389052383,16.378196957583363,0.3085649461145774
CO,41.90828402366858,55.89800992143255,57221.79201680672,29708.235177865612,3.4722772203794685,12.996385391947047,0.22476190476190477
CT,42.786231884057976,59.580753628204754,82778.75,41298.700729927004,4.643134600185045,7.983611818010328,0.12411347517730496
DC,33.306666666666665,39.41224100030832,79608.26086956522,45421.76666666667,3.960223955205573,11.69320556229081,0.2830188679245283
DE,41.20923076923077,52.54993162318647,62135.1186440678,29544.907692307694,3.4929142887017317,10.25667179963986,0.22388059701492538
FL,43.708950617283996,53.08845327787605,49679.1291005291,27298.025826446283,4.4025659876088605,16.269630637062154,0.34587995930824006
GA,39.08096551724135,49.7060960311466,45056.45193687231,22160.416551724138,4.353844534187851,19.450687684566976,0.308843537414966
HI,40.38064516129033,54.14605447762653,62828.31764705882,27017.09677419355,3.0339080727960845,12.319964275297455,0.3191489361702128
IA,42.73447905477973,49.79548613878627,53962.24671052631,27149.49946178687,2.4316873421373852,10.299108822309096,0.15310492505353318
ID,42.50439560439558,50.93023109940538,45327.3046875,22911.34432234432,3.0742735909163104,13.955181203799848,0.19424460431654678
IL,41.66966618287378,51.38107319402518,56748.21017699115,28154.947024673438,3.9868058154820343,12.228376295082683,0.16268980477223427
IN,39.88645833333333,48.284517438904885,50774.23024523161,23998.1044386423,3.6734124689056045,13.496478257514124,0.2361290322580645
KS,42.655861070911705,51.543249784087465,51451.00447761194,26405.489855072465,2.5666344936624803,12.303364929292357,0.23782234957020057
KY,40.93978779840849,46.60622149610928,40780.193452380954,20390.292164674636,3.978008500399741,22.450296495990607,0.1599479843953186
LA,38.99486166007901,45.885181556526454,43622.51789473684,23005.4592445328,3.764633172170494,19.970568038142883,0.4970873786407767
MA,43.1062146892655,61.66937509174315,76605.38759689922,38517.853107344636,3.9007559291558787,9.31851278270952,0.23649906890130354
MD,42.06428571428565,57.23163499948663,81364.7247706422,37711.05639913232,3.800326885571833,9.687711792330422,0.14957264957264957
ME,46.89103773584903,52.67544022573988,48590.931203931206,26513.46682464455,3.8273223843081285,13.72900845041522,0.12037037037037036
MI,43.746351490236435,50.86053949181526,49727.167189132706,25324.330587023687,4.511696996465072,14.862261385762576,0.18034447821681865
MN,42.451252847380395,51.98499828998115,56928.2122260669,28779.760820045558,2.870159702834868,10.866983918589728,0.16045197740112993
MO,42.1009930486594,47.538352013238516,45454.56714876033,22730.259701492538,3.5799900005840217,16.78300630961871,0.1748046875
MS,38.57860576923075,48.15914746105079,36667.69743589743,18714.448192771084,5.243785379325639,23.21014444127211,0.2789598108747045
MT,45.78133704735372,52.18205517723488,47161.62874251497,26597.36033519553,2.8294077598686522,15.569581960382612,0.1772853185595568
NC,41.73003754693368,51.86997242979769,45257.90206185567,23713.966165413534,4.57969895352537,17.464256495097644,0.14232673267326731
ND,44.61710526315787,51.42194131977169,59641.960893854746,33520.173684210524,1.3146953070912684,9.529185088990971,0.13315926892950392
NE,43.672413793103416,51.69878483847408,53548.97007042253,27641.03275862069,1.8556270358710079,11.046302292032967,0.18244406196213425
NH,45.39028340080975,58.21833602790236,68107.03734439834,34040.07692307692,3.020773763037522,8.447367008890401,0.14112903225806453
NJ,42.101535836177504,57.70335790281455,84731.63397548161,39967.96575342466,4.527795539987773,8.909372290372719,0.24705882352941178
NM,43.69059829059827,50.64024146223404,41286.802083333336,21722.03151862464,3.907091859689198,21.500670116319533,0.16847826086956522
NV,41.91538461538461,51.35728245677846,56187.48387096774,29243.05988023952,4.4252746202138,14.514638662834063,0.4057142857142857
NY,42.604636519748105,55.43315447877285,64414.18099819603,32054.127866972478,3.952619268816132,11.995656396056553,0.14214046822742474
OH,40.7748305084746,48.667468350730864,50482.35237258348,24655.967741935485,4.035058685197977,14.875403777609609,0.2247284878863826
OK,40.531007751938,48.584483449621,45105.160572337045,23187.271317829458,2.86263989436551,16.84565126470639,0.24074074074074073
OR,46.11062801932366,54.02126415189575,48729.73264781491,25736.81598062954,4.367133925998689,16.456715632169807,0.17985611510791366
PA,43.210455311973014,48.6917923937259,53663.853396901075,26811.44018058691,3.69691255164462,12.074439280897089,0.14404894327030032
PR,39.67984496124031,51.783183283445396,19486.48818897638,11758.643410852714,6.335797518215546,46.353377205628114,0.3282442748091603
RI,41.963636363636375,59.63932017090378,68163.24285714286,34775.67532467532,3.848511388992655,9.722870029214445,0.2727272727272727
SC,40.008353221957066,49.20989435232737,41755.236180904525,21708.942720763724,4.762208829714222,19.88648486165172,0.25235849056603776
SD,42.714634146341446,50.613625945615745,51324.79714285714,26812.065040650406,2.22018048426637,14.69513266296316,0.20754716981132076
TN,41.70514469453377,47.54548524635294,43168.43521594685,22533.88424437299,4.179016389421296,18.4997261680158,0.2754777070063694
TX,38.987322461862256,49.78818468973163,52473.580878265704,25831.40539112051,3.164115682527269,16.137588959354943,0.39069767441860465
UT,35.14982456140353,53.92871707264084,58439.82156133829,23548.81403508772,2.6857598726771577,12.016211507040163,0.22916666666666666
VA,43.128684807256214,53.106611960168046,59606.86748466258,28965.595454545455,3.188187194483942,12.553424236156404,0.15290178571428573
VT,45.394861660079066,56.484321025662425,55505.0,29543.399209486168,3.003359103498046,10.796908127397748,0.054901960784313725
WA,42.006655290102366,54.318969500674534,56290.27797833935,28574.69243986254,4.029418291172028,14.931060468246827,0.20903010033444816
WI,43.19403372243843,51.10582918395842,53678.07509881423,27022.697009102732,3.092814661173572,11.187352765773175,0.21059431524547803
WV,43.811494252873615,43.07206661854267,40006.80515297907,20649.178417266186,3.537037717153754,20.211339653579675,0.09631728045325778
WY,41.805590062111804,52.280596765244454,58776.91428571429,28970.018633540374,2.8410697655280384,10.592052858958363,0.19662921348314608
