Provider State,Provider Zip Code,Total Discharges,Average Charge,National Average Charge,Difference
AK,99654.5,13.5,7592.49,7294.9,297.59000000000015
AL,36060.142857142855,55.142857142857146,5294.197714285712,7294.899999999996,-2000.7022857142854
AR,72359.0,30.875,5016.218750000001,7294.900000000001,-2278.6812499999996
AZ,85640.66666666667,14.555555555555555,7350.936666666666,7294.900000000001,56.03666666666706
CA,93205.10126582278,30.531645569620252,9520.788734177215,7294.90000000001,2225.8887341772156
CO,80515.38461538461,28.076923076923077,9374.696923076925,7294.899999999999,2079.7969230769236
CT,6431.9,31.85,7869.036999999998,7294.899999999997,574.1370000000001
DC,20014.666666666668,46.333333333333336,7025.88,7294.899999999999,-269.01999999999924
DE,19823.75,32.0,8111.25,7294.9,816.3500000000004
FL,33498.6231884058,24.028985507246375,5837.615797101451,7294.900000000009,-1457.2842028985503
GA,30717.9,144.7,6416.262500000001,7294.899999999997,-878.6374999999998
HI,96803.0,26.5,8673.625,7294.9,1378.7250000000004
IA,51353.375,25.5625,5957.4825,7294.899999999998,-1337.4174999999998
ID,83693.66666666667,23.333333333333332,6651.746666666666,7294.900000000001,-643.1533333333331
IL,60639.661538461536,43.723076923076924,5882.763846153845,7294.900000000008,-1412.1361538461533
IN,46680.192307692305,36.34615384615385,5814.473846153846,7294.899999999996,-1480.4261538461533
KS,66670.5,20.5,6397.0960000000005,7294.9,-897.8039999999997
KY,40927.17391304348,36.391304347826086,6028.920434782609,7294.899999999997,-1265.979565217391
LA,70468.14285714286,28.857142857142858,8746.50142857143,7294.900000000001,1451.6014285714289
MA,1972.6760563380283,70.83098591549296,8174.549154929574,7294.90000000001,879.6491549295777
MD,21203.529411764706,30.529411764705884,8661.8,7294.899999999996,1366.9
ME,4294.1,45.9,6949.839999999999,7294.9,-345.0599999999996
MI,48524.56,33.2,7996.355599999999,7294.900000000003,701.4556
MN,55489.36363636364,31.03030303030303,8344.125151515149,7294.899999999996,1049.2251515151522
MO,64206.833333333336,30.733333333333334,5964.790333333333,7294.899999999996,-1330.1096666666663
MS,39198.5,44.111111111111114,6218.097777777778,7294.899999999998,-1076.8022222222219
MT,59501.0,13.0,4756.469999999999,7294.9,-2538.43
NC,28013.75,30.166666666666668,7211.121666666668,7294.899999999996,-83.77833333333311
ND,58286.5,33.25,7022.004999999999,7294.9,-272.8949999999995
NE,68253.25,17.75,5445.026249999999,7294.900000000001,-1849.8737499999997
NH,3274.1111111111113,19.88888888888889,5017.693333333334,7294.900000000001,-2277.206666666667
NJ,8040.1,27.225,7609.421500000001,7294.899999999999,314.52150000000046
NM,87334.42857142857,18.571428571428573,9143.23,7294.900000000001,1848.3300000000002
NV,89344.45454545454,24.818181818181817,6654.577272727273,7294.9,-640.322727272727
NY,11915.241134751774,37.59574468085106,9098.483475177305,7294.900000000016,1803.583475177305
OH,44085.26666666667,38.44444444444444,6657.265555555559,7294.9000000000015,-637.6344444444441
OK,73855.2,25.866666666666667,6917.140666666665,7294.899999999998,-377.7593333333329
OR,97348.33333333333,13.666666666666666,7987.328333333332,7294.900000000001,692.4283333333339
PA,17814.35185185185,40.925925925925924,7179.302037037036,7294.900000000005,-115.59796296296274
RI,2889.5,46.2,7806.331000000001,7294.9,511.4310000000002
SC,29526.666666666668,19.8,5997.3853333333345,7294.899999999998,-1297.5146666666662
SD,57407.4,18.8,6504.75,7294.9,-790.1499999999996
TN,37491.875,24.6875,5291.71875,7294.899999999998,-2003.1812499999999
TX,77338.65384615384,21.03846153846154,6962.24923076923,7294.899999999996,-332.6507692307688
UT,84169.25,26.0,5395.6925,7294.9,-1899.2074999999998
VA,23235.92,24.0,5980.1944,7294.899999999997,-1314.7055999999998
VT,5551.0,34.0,6659.43,7294.9,-635.4699999999998
WA,98351.29411764706,29.823529411764707,7515.977647058824,7294.899999999998,221.07764705882389
WI,53874.96551724138,28.20689655172414,6009.631034482759,7294.899999999996,-1285.268965517241
WV,26069.0,22.4,7242.834000000001,7294.9,-52.06599999999962
WY,82467.66666666667,16.666666666666668,5941.37,7294.899999999999,-1353.5299999999997
